survived,pclass,sex,age,sibsp,parch,fare,class,who,adult_male,alive,alone
0,1,male,45.5,0,0,28.5,First,man,True,no,True
0,2,male,23.0,0,0,13.0,Second,man,True,no,True
0,3,male,32.0,0,0,7.925,Third,man,True,no,True
0,3,male,26.0,1,0,7.8542,Third,man,True,no,False
0,3,female,6.0,4,2,31.275,Third,child,False,no,False
0,1,male,24.0,0,1,247.5208,First,man,True,no,False
0,1,male,45.0,0,0,26.55,First,man,True,no,True
0,2,male,29.0,1,0,27.7208,Second,man,True,no,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,1,male,,0,0,35.5,First,man,True,yes,True
1,2,female,42.0,0,0,13.0,Second,woman,False,yes,True
0,3,male,36.0,1,1,24.15,Third,man,True,no,False
0,2,male,33.0,0,0,12.275,Second,man,True,no,True
0,3,male,17.0,1,0,7.0542,Third,man,True,no,False
1,3,male,29.0,0,0,9.5,Third,man,True,yes,True
1,2,female,50.0,0,1,26.0,Second,woman,False,yes,False
1,1,female,35.0,1,0,90.0,First,woman,False,yes,False
1,1,female,38.0,0,0,227.525,First,woman,False,yes,True
0,2,male,34.0,0,0,13.0,Second,man,True,no,True
1,1,female,17.0,1,0,57.0,First,woman,False,yes,False
0,3,female,11.0,4,2,31.275,Third,child,False,no,False
0,3,male,61.0,0,0,6.2375,Third,man,True,no,True
0,3,female,30.0,0,0,8.6625,Third,woman,False,no,True
1,2,female,7.0,0,2,26.25,Second,child,False,yes,False
1,3,female,63.0,0,0,9.5875,Third,woman,False,yes,True
1,3,male,20.0,0,0,7.2292,Third,man,True,yes,True
1,3,female,,0,2,22.3583,Third,woman,False,yes,False
0,3,male,29.0,0,0,9.4833,Third,man,True,no,True
1,1,male,36.0,1,2,120.0,First,man,True,yes,False
0,3,male,,0,0,14.4583,Third,man,True,no,True
0,3,male,50.0,0,0,8.05,Third,man,True,no,True
0,1,male,27.0,0,2,211.5,First,man,True,no,False
0,3,male,30.0,0,0,7.25,Third,man,True,no,True
1,1,female,33.0,1,0,90.0,First,woman,False,yes,False
0,3,male,,0,0,7.725,Third,man,True,no,True
0,3,female,,3,1,25.4667,Third,woman,False,no,False
0,3,male,2.0,3,1,21.075,Third,child,False,no,False
1,2,female,25.0,1,1,30.0,Second,woman,False,yes,False
0,1,male,51.0,0,1,61.3792,First,man,True,no,False
1,2,female,25.0,0,1,26.0,Second,woman,False,yes,False
0,3,male,,0,0,7.25,Third,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,2,female,24.0,0,0,13.0,Second,woman,False,no,True
0,3,male,18.0,1,1,20.2125,Third,man,True,no,False
1,1,male,,0,0,30.5,First,man,True,yes,True
0,3,male,25.0,0,0,7.05,Third,man,True,no,True
1,2,female,24.0,0,2,14.5,Second,woman,False,yes,False
0,3,male,22.0,0,0,7.5208,Third,man,True,no,True
1,1,male,0.92,1,2,151.55,First,child,False,yes,False
1,2,female,24.0,1,0,26.0,Second,woman,False,yes,False
1,3,female,26.0,0,0,7.925,Third,woman,False,yes,True
0,2,male,34.0,1,0,21.0,Second,man,True,no,False
1,1,female,21.0,2,2,262.375,First,woman,False,yes,False
0,3,male,,0,0,7.75,Third,man,True,no,True
1,3,female,,0,0,7.2292,Third,woman,False,yes,True
0,3,male,,0,0,8.6625,Third,man,True,no,True
1,3,female,22.0,0,0,7.775,Third,woman,False,yes,True
1,1,female,62.0,0,0,80.0,First,woman,False,yes,True
1,3,female,18.0,0,0,9.8417,Third,woman,False,yes,True
1,1,female,42.0,0,0,227.525,First,woman,False,yes,True
0,2,male,57.0,0,0,12.35,Second,man,True,no,True
0,3,male,19.0,0,0,0.0,Third,man,True,no,True
1,2,female,42.0,1,0,26.0,Second,woman,False,yes,False
0,3,male,,0,0,7.225,Third,man,True,no,True
0,3,female,20.0,0,0,8.6625,Third,woman,False,no,True
0,3,male,34.5,0,0,6.4375,Third,man,True,no,True
0,3,male,28.0,0,0,9.5,Third,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
0,3,male,23.0,0,0,7.8958,Third,man,True,no,True
0,3,male,22.0,0,0,7.25,Third,man,True,no,True
1,1,male,52.0,0,0,30.5,First,man,True,yes,True
1,3,female,30.0,0,0,12.475,Third,woman,False,yes,True
0,2,male,36.5,0,2,26.0,Second,man,True,no,False
0,3,male,,0,0,7.75,Third,man,True,no,True
0,3,male,22.0,0,0,7.2292,Third,man,True,no,True
1,1,male,50.0,2,0,133.65,First,man,True,yes,False
1,3,male,27.0,0,0,6.975,Third,man,True,yes,True
0,3,male,22.0,0,0,8.05,Third,man,True,no,True
1,1,female,51.0,1,0,77.9583,First,woman,False,yes,False
0,2,male,36.0,0,0,10.5,Second,man,True,no,True
1,2,female,29.0,1,0,26.0,Second,woman,False,yes,False
1,1,female,22.0,0,0,151.55,First,woman,False,yes,True
0,1,male,50.0,1,0,106.425,First,man,True,no,False
1,2,female,40.0,0,0,13.0,Second,woman,False,yes,True
1,3,male,27.0,0,0,8.6625,Third,man,True,yes,True
0,1,male,,0,0,0.0,First,man,True,no,True
0,1,male,65.0,0,0,26.55,First,man,True,no,True
0,3,male,17.0,0,0,8.6625,Third,man,True,no,True
1,1,male,28.0,0,0,26.55,First,man,True,yes,True
1,1,male,4.0,0,2,81.8583,First,child,False,yes,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,3,female,1.0,1,1,11.1333,Third,child,False,yes,False
0,2,male,36.0,1,2,27.75,Second,man,True,no,False
0,2,male,43.0,1,1,26.25,Second,man,True,no,False
0,1,male,38.0,0,1,153.4625,First,man,True,no,False
1,2,female,31.0,1,1,26.25,Second,woman,False,yes,False
0,3,male,29.0,0,0,8.05,Third,man,True,no,True
0,3,male,18.0,0,0,8.3,Third,man,True,no,True
0,2,male,,0,0,15.05,Second,man,True,no,True
1,1,female,39.0,1,1,110.8833,First,woman,False,yes,False
0,2,male,39.0,0,0,13.0,Second,man,True,no,True
0,3,male,26.0,2,0,8.6625,Third,man,True,no,False
0,3,male,20.0,0,0,7.05,Third,man,True,no,True
1,1,female,,1,0,133.65,First,woman,False,yes,False
0,3,male,49.0,0,0,0.0,Third,man,True,no,True
0,2,male,23.0,0,0,15.0458,Second,man,True,no,True
0,3,male,1.0,4,1,39.6875,Third,child,False,no,False
1,3,female,,0,0,7.8792,Third,woman,False,yes,True
0,3,male,,1,2,23.45,Third,man,True,no,False
1,2,male,3.0,1,1,26.0,Second,child,False,yes,False
1,3,male,4.0,1,1,11.1333,Third,child,False,yes,False
0,3,male,19.0,0,0,7.65,Third,man,True,no,True
0,3,male,40.5,0,0,7.75,Third,man,True,no,True
1,3,female,1.0,0,2,15.7417,Third,child,False,yes,False
0,3,female,,0,2,15.2458,Third,woman,False,no,False
0,3,male,21.0,0,0,7.925,Third,man,True,no,True
0,1,male,54.0,0,0,51.8625,First,man,True,no,True
0,3,male,,0,0,15.5,Third,man,True,no,True
0,2,male,25.0,1,2,41.5792,Second,man,True,no,False
0,3,male,26.0,1,0,14.4542,Third,man,True,no,False
0,3,female,22.0,0,0,10.5167,Third,woman,False,no,True
1,3,female,31.0,1,1,20.525,Third,woman,False,yes,False
1,1,male,49.0,1,0,89.1042,First,man,True,yes,False
0,2,male,19.0,1,1,36.75,Second,man,True,no,False
0,2,male,24.0,0,0,10.5,Second,man,True,no,True
1,3,male,16.0,0,0,8.05,Third,man,True,yes,True
1,1,male,25.0,1,0,55.4417,First,man,True,yes,False
0,3,male,39.0,0,0,24.15,Third,man,True,no,True
0,3,female,47.0,1,0,14.5,Third,woman,False,no,False
0,1,male,60.0,0,0,26.55,First,man,True,no,True
0,2,male,24.0,0,0,13.0,Second,man,True,no,True
0,1,male,,0,0,50.0,First,man,True,no,True
0,2,female,27.0,1,0,21.0,Second,woman,False,no,False
1,2,male,,0,0,13.8625,Second,man,True,yes,True
0,3,male,38.0,0,0,7.8958,Third,man,True,no,True
0,3,male,44.0,0,0,8.05,Third,man,True,no,True
1,2,female,21.0,0,0,10.5,Second,woman,False,yes,True
1,3,female,24.0,0,2,16.7,Third,woman,False,yes,False
1,2,female,45.0,0,0,13.5,Second,woman,False,yes,True
1,2,male,8.0,1,1,36.75,Second,child,False,yes,False
0,3,female,8.0,3,1,21.075,Third,child,False,no,False
0,1,male,,0,0,35.0,First,man,True,no,True
1,3,male,32.0,0,0,8.05,Third,man,True,yes,True
0,1,male,50.0,1,0,55.9,First,man,True,no,False
0,3,male,21.0,0,0,7.8,Third,man,True,no,True
1,2,female,50.0,0,0,10.5,Second,woman,False,yes,True
0,3,female,23.0,0,0,7.925,Third,woman,False,no,True
1,3,male,32.0,0,0,7.8542,Third,man,True,yes,True
0,3,female,,0,0,7.75,Third,woman,False,no,True
0,3,female,21.0,2,2,34.375,Third,woman,False,no,False
0,3,male,,0,0,7.75,Third,man,True,no,True
0,3,male,25.0,0,0,7.225,Third,man,True,no,True
0,3,male,15.0,1,1,7.2292,Third,child,False,no,False
0,3,female,31.0,1,0,18.0,Third,woman,False,no,False
0,2,male,25.0,0,0,13.0,Second,man,True,no,True
0,2,male,54.0,0,0,26.0,Second,man,True,no,True
0,1,male,28.0,0,0,47.1,First,man,True,no,True
1,1,female,38.0,0,0,80.0,First,woman,False,yes,True
1,2,female,41.0,0,1,19.5,Second,woman,False,yes,False
0,3,male,33.0,0,0,8.6625,Third,man,True,no,True
0,2,male,52.0,0,0,13.5,Second,man,True,no,True
0,3,male,16.0,1,1,20.25,Third,man,True,no,False
0,3,male,20.0,0,0,8.05,Third,man,True,no,True
0,3,male,9.0,4,2,31.3875,Third,child,False,no,False
1,3,male,,0,0,8.1125,Third,man,True,yes,True
0,3,male,,0,0,7.8292,Third,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,1,female,54.0,1,0,59.4,First,woman,False,yes,False
0,3,male,26.0,0,0,7.8958,Third,man,True,no,True
1,1,male,60.0,1,1,79.2,First,man,True,yes,False
1,3,male,,0,0,56.4958,Third,man,True,yes,True
1,1,female,44.0,0,1,57.9792,First,woman,False,yes,False
1,3,male,20.0,1,0,7.925,Third,man,True,yes,False
0,3,male,,3,1,25.4667,Third,man,True,no,False
0,2,male,16.0,0,0,10.5,Second,man,True,no,True
0,3,female,43.0,1,6,46.9,Third,woman,False,no,False
0,3,male,17.0,0,0,8.6625,Third,man,True,no,True
1,1,male,37.0,1,1,52.5542,First,man,True,yes,False
1,2,male,62.0,0,0,10.5,Second,man,True,yes,True
0,3,male,8.0,4,1,29.125,Third,child,False,no,False
1,3,male,32.0,0,0,56.4958,Third,man,True,yes,True
0,3,female,20.0,1,0,9.825,Third,woman,False,no,False
1,2,female,28.0,0,0,13.0,Second,woman,False,yes,True
0,3,female,21.0,0,0,7.75,Third,woman,False,no,True
0,3,male,37.0,2,0,7.925,Third,man,True,no,False
0,3,female,17.0,0,0,14.4583,Third,woman,False,no,True
1,3,female,,0,0,7.75,Third,woman,False,yes,True
0,1,male,46.0,1,0,61.175,First,man,True,no,False
0,3,male,,0,0,15.1,Third,man,True,no,True
0,3,male,24.0,0,0,8.05,Third,man,True,no,True
0,1,male,29.0,1,0,66.6,First,man,True,no,False
1,1,female,56.0,0,1,83.1583,First,woman,False,yes,False
0,2,male,31.0,1,1,37.0042,Second,man,True,no,False
1,3,male,,0,0,7.75,Third,man,True,yes,True
1,2,male,32.0,1,0,26.0,Second,man,True,yes,False
0,3,male,33.0,1,1,20.525,Third,man,True,no,False
0,3,male,59.0,0,0,7.25,Third,man,True,no,True
1,1,female,58.0,0,0,26.55,First,woman,False,yes,True
1,3,female,,1,0,16.1,Third,woman,False,yes,False
1,2,female,3.0,1,2,41.5792,Second,child,False,yes,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
1,1,female,16.0,0,1,57.9792,First,woman,False,yes,False
0,3,female,45.0,1,4,27.9,Third,woman,False,no,False
1,1,female,43.0,0,1,211.3375,First,woman,False,yes,False
1,1,female,30.0,0,0,106.425,First,woman,False,yes,True
0,3,male,28.5,0,0,16.1,Third,man,True,no,True
0,3,male,24.0,0,0,7.7958,Third,man,True,no,True
0,2,male,30.0,0,0,13.0,Second,man,True,no,True
0,1,male,36.0,0,0,40.125,First,man,True,no,True
0,3,male,25.0,0,0,7.05,Third,man,True,no,True
0,3,female,,0,2,7.75,Third,woman,False,no,False
0,1,female,50.0,0,0,28.7125,First,woman,False,no,True
1,3,female,0.75,2,1,19.2583,Third,child,False,yes,False
1,1,female,24.0,0,0,49.5042,First,woman,False,yes,True
1,2,female,24.0,1,2,65.0,Second,woman,False,yes,False
1,1,female,35.0,1,0,52.0,First,woman,False,yes,False
1,1,female,30.0,0,0,86.5,First,woman,False,yes,True
0,2,male,23.0,0,0,13.0,Second,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,2,male,27.0,0,0,26.0,Second,man,True,no,True
1,2,female,55.0,0,0,16.0,Second,woman,False,yes,True
1,1,female,35.0,1,0,53.1,First,woman,False,yes,False
0,3,male,,0,0,6.8583,Third,man,True,no,True
1,1,female,,0,0,79.2,First,woman,False,yes,True
0,3,male,,1,0,19.9667,Third,man,True,no,False
1,2,female,23.0,0,0,13.7917,Second,woman,False,yes,True
1,3,female,,0,0,7.7333,Third,woman,False,yes,True
1,1,female,23.0,1,0,113.275,First,woman,False,yes,False
0,3,male,51.0,0,0,8.05,Third,man,True,no,True
1,2,female,33.0,0,2,26.0,Second,woman,False,yes,False
0,3,female,29.0,0,4,21.075,Third,woman,False,no,False
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,3,male,,8,2,69.55,Third,man,True,no,False
1,2,female,2.0,1,1,26.0,Second,child,False,yes,False
1,2,female,14.0,1,0,30.0708,Second,child,False,yes,False
0,2,male,54.0,1,0,26.0,Second,man,True,no,False
1,3,female,15.0,0,0,8.0292,Third,child,False,yes,True
1,1,female,22.0,0,1,55.0,First,woman,False,yes,False
0,2,male,27.0,0,0,13.0,Second,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,1,male,,0,0,39.6,First,man,True,no,True
1,2,female,28.0,1,0,24.0,Second,woman,False,yes,False
0,3,male,39.0,0,0,7.925,Third,man,True,no,True
1,2,male,2.0,1,1,26.0,Second,child,False,yes,False
0,3,male,24.0,1,0,16.1,Third,man,True,no,False
0,3,male,32.0,0,0,7.8958,Third,man,True,no,True
0,3,male,45.5,0,0,7.225,Third,man,True,no,True
1,2,female,8.0,0,2,26.25,Second,child,False,yes,False
0,3,male,26.0,1,2,20.575,Third,man,True,no,False
1,1,female,29.0,0,0,211.3375,First,woman,False,yes,True
1,2,female,45.0,1,1,26.25,Second,woman,False,yes,False
1,3,female,36.0,1,0,17.4,Third,woman,False,yes,False
0,1,male,,0,0,26.0,First,man,True,no,True
1,3,female,4.0,0,2,22.025,Third,child,False,yes,False
0,2,male,16.0,0,0,26.0,Second,man,True,no,True
0,1,male,58.0,0,0,29.7,First,man,True,no,True
0,3,male,40.5,0,2,14.5,Third,man,True,no,False
0,3,male,25.0,0,0,7.65,Third,man,True,no,True
0,3,male,,0,0,7.8958,Third,man,True,no,True
0,3,male,51.0,0,0,7.0542,Third,man,True,no,True
0,2,male,,0,0,0.0,Second,man,True,no,True
1,3,female,17.0,4,2,7.925,Third,woman,False,yes,False
0,3,male,,0,0,6.95,Third,man,True,no,True
0,3,male,40.0,1,1,15.5,Third,man,True,no,False
1,3,male,25.0,0,0,0.0,Third,man,True,yes,True
0,1,male,47.0,0,0,25.5875,First,man,True,no,True
0,1,male,,0,0,26.55,First,man,True,no,True
0,2,male,44.0,1,0,26.0,Second,man,True,no,False
1,1,female,23.0,3,2,263.0,First,woman,False,yes,False
0,2,male,18.0,0,0,11.5,Second,man,True,no,True
0,2,male,29.0,1,0,21.0,Second,man,True,no,False
1,3,male,12.0,1,0,11.2417,Third,child,False,yes,False
0,3,male,11.0,0,0,18.7875,Third,child,False,no,True
1,3,female,22.0,0,0,7.75,Third,woman,False,yes,True
0,2,male,19.0,0,0,10.5,Second,man,True,no,True
0,3,male,22.0,1,0,7.25,Third,man,True,no,False
0,3,male,33.0,0,0,7.8958,Third,man,True,no,True
0,1,male,56.0,0,0,26.55,First,man,True,no,True
1,2,male,1.0,0,2,37.0042,Second,child,False,yes,False
0,3,male,22.0,0,0,7.7958,Third,man,True,no,True
0,3,male,,0,0,7.2292,Third,man,True,no,True
0,3,male,,0,0,7.75,Third,man,True,no,True
0,3,male,7.0,4,1,29.125,Third,child,False,no,False
1,3,female,4.0,0,1,13.4167,Third,child,False,yes,False
0,3,male,70.5,0,0,7.75,Third,man,True,no,True
0,2,male,18.0,0,0,13.0,Second,man,True,no,True
1,3,male,20.0,1,1,15.7417,Third,man,True,yes,False
0,2,male,24.0,2,0,73.5,Second,man,True,no,False
0,3,male,,0,0,7.225,Third,man,True,no,True
1,2,female,34.0,0,0,10.5,Second,woman,False,yes,True
1,3,female,,0,0,7.75,Third,woman,False,yes,True
1,1,female,31.0,0,2,164.8667,First,woman,False,yes,False
0,3,male,30.0,0,0,7.8958,Third,man,True,no,True
0,2,male,18.0,0,0,11.5,Second,man,True,no,True
0,3,female,9.0,3,2,27.9,Third,child,False,no,False
1,1,female,39.0,1,1,79.65,First,woman,False,yes,False
1,1,female,33.0,1,0,53.1,First,woman,False,yes,False
0,1,male,70.0,1,1,71.0,First,man,True,no,False
1,1,female,24.0,0,0,69.3,First,woman,False,yes,True
1,1,female,58.0,0,1,153.4625,First,woman,False,yes,False
0,3,male,21.0,0,0,7.8542,Third,man,True,no,True
1,1,female,17.0,1,0,108.9,First,woman,False,yes,False
0,3,female,28.0,1,1,14.4,Third,woman,False,no,False
1,1,female,24.0,0,0,83.1583,First,woman,False,yes,True
0,3,male,,0,0,7.225,Third,man,True,no,True
0,3,male,,1,0,15.5,Third,man,True,no,False
0,3,male,42.0,0,0,8.6625,Third,man,True,no,True
0,3,male,18.0,1,0,6.4958,Third,man,True,no,False
1,3,female,2.0,0,1,12.2875,Third,child,False,yes,False
1,2,female,34.0,0,0,13.0,Second,woman,False,yes,True
1,3,male,3.0,4,2,31.3875,Third,child,False,yes,False
1,1,female,58.0,0,0,146.5208,First,woman,False,yes,True
0,3,male,32.0,0,0,7.75,Third,man,True,no,True
1,3,male,31.0,0,0,7.925,Third,man,True,yes,True
1,3,male,,0,0,7.775,Third,man,True,yes,True
1,2,female,27.0,1,0,13.8583,Second,woman,False,yes,False
0,3,male,11.0,5,2,46.9,Third,child,False,no,False
0,2,male,23.0,0,0,13.0,Second,man,True,no,True
0,1,male,40.0,0,0,0.0,First,man,True,no,True
0,3,male,,0,0,7.2292,Third,man,True,no,True
0,3,female,28.0,0,0,7.8958,Third,woman,False,no,True
1,2,female,28.0,0,0,13.0,Second,woman,False,yes,True
0,3,male,,1,0,19.9667,Third,man,True,no,False
0,3,male,19.0,0,0,10.1708,Third,man,True,no,True
0,3,female,30.0,1,1,24.15,Third,woman,False,no,False
0,3,male,20.0,0,0,7.8542,Third,man,True,no,True
0,3,male,28.0,0,0,56.4958,Third,man,True,no,True
0,3,male,36.0,0,0,0.0,Third,man,True,no,True
0,3,male,,0,0,8.05,Third,man,True,no,True
1,1,female,24.0,3,2,263.0,First,woman,False,yes,False
0,3,male,28.5,0,0,7.2292,Third,man,True,no,True
1,3,female,24.0,0,3,19.2583,Third,woman,False,yes,False
0,2,male,42.0,0,0,13.0,Second,man,True,no,True
0,1,male,54.0,0,1,77.2875,First,man,True,no,False
0,3,male,25.0,0,0,7.7417,Third,man,True,no,True
0,3,male,7.0,4,1,39.6875,Third,child,False,no,False
0,3,male,25.0,1,0,17.8,Third,man,True,no,False
1,3,female,27.0,0,1,12.475,Third,woman,False,yes,False
1,3,female,24.0,1,0,15.85,Third,woman,False,yes,False
0,3,male,,0,0,7.25,Third,man,True,no,True
1,2,female,28.0,0,0,12.65,Second,woman,False,yes,True
0,3,male,19.0,0,0,14.5,Third,man,True,no,True
0,3,male,22.0,0,0,7.25,Third,man,True,no,True
1,3,female,,0,0,7.225,Third,woman,False,yes,True
0,3,female,,8,2,69.55,Third,woman,False,no,False
1,1,male,42.0,0,0,26.2875,First,man,True,yes,True
0,2,male,50.0,0,0,13.0,Second,man,True,no,True
1,2,male,3.0,1,1,18.75,Second,child,False,yes,False
0,1,male,,0,0,227.525,First,man,True,no,True
0,3,female,18.0,2,0,18.0,Third,woman,False,no,False
0,3,male,18.0,1,1,7.8542,Third,man,True,no,False
0,1,male,44.0,2,0,90.0,First,man,True,no,False
1,1,male,,0,0,30.0,First,man,True,yes,True
